carrier,op_code,ticket,pnr,seat
VY,1,03084865,VGQOP,37J
VY,1,03065438,XEOQA,22P
VY,1,03027784,SMNHQ,34B
VY,1,03035605,PLIAC,39J
VY,1,03031523,UPHNH,39F
VY,1,03043538,WFNMW,35F
VY,1,03031279,NKRGT,12J
VY,1,03050310,AMARC,35P
VY,1,03079404,GEJHE,26V
VY,1,03098594,KOHUW,4E
VY,1,03046600,GQQXE,20T
VY,1,03065930,AXRIT,42Z
VY,1,03098035,EPBFI,19D
VY,1,03066355,BLAQF,29A
VY,1,03047762,JKCOV,37H
VY,1,03012803,JIGQY,26R
VY,1,03013783,QGNVE,39U
VY,1,03076082,VNCWS,2S
VY,1,03057952,XOOPI,37N
VY,1,03029395,TVQIP,10O
VY,1,03075527,SVFFB,35B
VY,1,03022973,XYIVZ,39J
VY,1,03051173,JDRCX,7A
VY,1,03072842,VNASK,39S
VY,1,03020862,QDNMV,1L
VY,1,03045220,IGKTR,23M
VY,1,03020514,OQBAR,39T
VY,1,03085851,KKLNQ,31F
VY,1,03014823,FFZTX,6B
VY,1,03025127,XNCUQ,1M
VY,1,03034213,MSBWJ,8P
VY,1,03014075,SUBLJ,32Z
VY,1,03036583,PCYXU,39T
VY,1,03026220,RMOEC,26Q
VY,1,03031140,PHLAP,10B
VY,1,03048474,OHOHY,2H
VY,1,03046042,GTKUX,5X
VY,1,03044377,IPTFA,6H
VY,1,03041813,RMWUH,21V
VY,1,03035719,AJVQU,34P
VY,1,03040368,DTERV,30U
VY,1,03046374,SUCGH,8N
VY,1,03025877,BLZWZ,29S
VY,1,03063713,VYKWG,39M
VY,1,03090067,XMOAM,3J
VY,1,03077581,QGWEX,25K
VY,1,03014050,YXMHM,13Z
VY,1,03078362,VKGKB,13P
VY,1,03016448,NCVJT,38O
VY,1,03080378,NDFOZ,15V
VY,1,03024673,WGRXD,4I
VY,1,03036404,BUDZZ,2T
VY,1,03061188,ROBUM,17H
VY,1,03056831,XYSGB,8M
VY,1,03079881,HQKRB,11E
VY,1,03047087,NVDFK,42P
VY,1,03028720,YEZMX,31R
VY,1,03049824,GKRBI,6T
VY,1,03050080,WRFHC,25L
VY,2,03081780,RZJWO,27P
VY,2,03091906,JRRQR,9B
VY,2,03099554,ZFFZX,18X
VY,2,03063673,ZLCSP,28J
VY,2,03072117,JYKKO,30U
VY,2,03053970,BBJQM,26O
VY,2,03065055,SNEGH,15B
VY,2,03085284,XYSHQ,20Q
VY,2,03019843,MIYZN,3Y
VY,2,03057609,NIECM,3N
VY,2,03056494,ECWMG,17O
VY,2,03047231,FWPOY,16H
VY,2,03030701,ZGLCM,37U
VY,2,03011771,EDZUJ,34B
VY,2,03071219,SLADP,28Y
VY,2,03080489,ZYSAU,36K
VY,2,03069894,OXLFW,34Z
VY,2,03083882,LHRIE,22F
VY,2,03031082,PQTJZ,21E
VY,2,03088227,ICULY,29Y
VY,2,03091125,QJKPY,13O
VY,2,03086831,LURAG,8T
VY,2,03065324,HVAVQ,19Z
VY,2,03060852,KIXUB,14L
VY,2,03013287,CEDYT,17K
VY,2,03049696,MBUJL,27O
VY,2,03032364,IAGJT,10Y
VY,2,03037427,EPXFE,25H
VY,2,03068368,MHWYI,42Y
VY,2,03011741,XXWNR,13J
VY,2,03066158,VRDXD,19S
VY,2,03038214,VCFEP,10D
VY,2,03038106,DCLVV,18R
VY,2,03083551,OAJIR,8X
VY,2,03065048,YNVNT,10D
VY,2,03037004,KOTDE,33E
VY,2,03094300,RHJTU,35L
VY,2,03025908,RTZGZ,21G
VY,2,03058587,DSFHK,35A
VY,2,03082305,ZCHFR,25D
VY,2,03088989,VXZYA,24Z
VY,2,03065557,SUCNM,6D
VY,2,03040584,EDRJC,34Q
VY,2,03097727,APNPZ,33T
VY,2,03084144,YZRHA,5R
VY,2,03053458,OKBBO,31B
VY,2,03014622,FHGKZ,26F
VY,2,03061970,RAFOG,40J
VY,2,03070371,MPGGO,38H
VY,2,03068896,XWTYH,35R
VY,2,03088003,DIMZZ,7A
VY,2,03044771,YUJNR,20G
VY,2,03037904,LCZNO,38B
VY,2,03012211,LKFZY,3Z
VY,2,03047021,QLCYS,5Y
VY,2,03082692,WKQSX,38F
VY,2,03040742,JVGXO,11K
VY,2,03073490,ETMPS,19P
VY,2,03028474,FDCJQ,21E
VY,2,03051388,ZTUSS,26S
VY,2,03040029,PYYCY,4B
VY,2,03064817,HDSQA,4V
VY,2,03021496,EEGXE,39N
VY,2,03014664,XZWXB,23Z
VY,2,03072567,ZBNOR,42J
VY,2,03033003,SXOZW,5V
VY,2,03062601,ITUBV,3K
VY,2,03017138,QTEOP,37K
VY,2,03069170,AOPAY,7Z
VY,2,03064682,OFEVU,17W
VY,2,03041598,SOIJT,6E
VY,2,03010983,PTIXL,4K
VY,2,03071428,UIULB,11L
VY,2,03059504,ZTMPI,41F
VY,2,03010197,GHFUV,9S
VY,2,03036973,AFFPX,33E
VY,2,03086744,ACIZS,18A
VY,2,03025746,OLSWL,16Q
VY,2,03098829,JIZSI,14Z
VY,2,03082615,JSAET,17W
VY,2,03058544,YTUCS,28W
VY,2,03043295,VQBNV,8L
VY,2,03065704,ORDZC,14A
VY,2,03034180,CODFL,23T
VY,2,03050430,AKUIB,40N
VY,2,03016504,SGWFQ,31Y
VY,2,03052448,VHDSJ,42W
VY,2,03028665,GUFQK,9X
VY,2,03071597,YMVPY,1Y
VY,2,03070877,JWMIM,37H
VY,2,03051845,RMSEX,33Z
VY,2,03058514,WAUCO,9U
VY,2,03078232,TUCPF,42R
VY,2,03085271,WPYVW,23I
VY,2,03065463,DGJSZ,36K
VY,2,03036979,DKKMK,9J
VY,2,03018200,KOWFV,31X
VY,2,03043744,NWRMQ,25P
VY,2,03094360,MXIQG,31Z
VY,2,03098712,FILMW,28T
VY,2,03064542,IYBME,41I
VY,2,03050175,UFEMF,27I
VY,2,03031439,EFSYR,32J
VY,2,03029570,TBQVV,11D
VY,2,03034711,YCKXX,26F
VY,2,03030825,CXXOL,38W
VY,2,03032596,GQRFL,8W
VY,2,03059647,LYVJR,6C
VY,2,03079747,TJBDS,23H
VY,2,03057944,KYSCH,15Q
VY,2,03055116,JTVHK,29D
VY,2,03072244,DOHDJ,24M
VY,2,03081421,WQFLY,17N
VY,2,03034140,GSFXY,23G
VY,2,03013586,WRBJM,36F
VY,2,03034481,VYQQU,15T
VY,2,03072957,ZCIOI,26H
VY,2,03064027,KSZRE,37U
VY,2,03058405,SDNAI,26V
VY,2,03038902,DOVOF,34U
VY,2,03060279,IAGOS,23I
VY,2,03040819,XSJXC,32Q
VY,2,03057126,EOFIT,17C
VY,2,03021152,KXSUS,33C
VY,2,03057931,PRLTZ,3O
VY,2,03042275,BZVTI,5H
VY,2,03094044,NJERO,18Q
VY,2,03093824,HIHRB,33Q
VY,2,03054680,MACBV,29C
VY,2,03063914,DPPWR,8Z
VY,2,03012624,RROJL,25E
VY,2,03076239,HUGRF,9Z
VY,2,03012332,WSWII,23V
VY,2,03049010,RPQKH,1B
IB,3,07549721,TZXPI,1M
IB,3,07590381,CLKVF,39T
IB,3,07558661,PGKHB,41S
IB,3,07587244,XFHWB,17K
IB,3,07544567,DQAZL,36I
IB,3,07598025,UCBYG,32R
IB,3,07574649,LANBJ,5C
IB,3,07587874,DZGDU,31W
IB,3,07562274,XTNGK,11G
IB,3,07593658,EZHAL,4N
IB,3,07528559,EIMIT,28A
IB,3,07513949,KYAKL,21H
IB,3,07522524,YCKVQ,35V
IB,3,07529218,ZKYYZ,2Q
IB,3,07574449,WRVPW,19H
IB,3,07590869,LKEXQ,42W
IB,3,07528447,XHDQC,3C
IB,3,07543677,QYSZT,31S
IB,3,07578266,ILQAM,5N
IB,3,07532035,TLGPE,7B
IB,3,07580966,ONXZV,14O
IB,3,07534264,WRQYT,13M
IB,3,07556111,RCBAH,30S
IB,3,07582936,FOTBC,38T
IB,3,07569297,MYYOU,41W
IB,3,07544648,YRMZB,26M
IB,3,07592240,HAMSJ,8H
IB,3,07568197,NTYGM,40J
IB,3,07545143,IYAUK,1Y
IB,3,07589180,GXCKI,13G
IB,3,07565620,NUNRL,27K
IB,3,07527758,QCPLZ,36W
IB,3,07596304,DFZRN,34L
IB,3,07518685,QBXAE,31E
IB,3,07597208,ISUWT,25B
IB,3,07517068,EYPBM,22U
IB,3,07541092,KXRRQ,39N
IB,3,07550100,NCLLE,20B
IB,3,07519484,EBIZS,34O
IB,3,07516803,KHHIG,29Q
IB,3,07552107,NLIUT,25S
IB,3,07556155,SMFEO,33E
IB,3,07555934,CPJSW,5R
IB,3,07546418,YJXQU,35A
IB,3,07568231,HWHPN,30M
IB,3,07536796,MFLHD,27J
IB,3,07516663,DVKDT,32L
IB,3,07518862,HDRCP,26J
IB,3,07567429,BYOQP,34Z
IB,3,07571816,DLLMQ,25X
IB,3,07530195,MLSOK,10I
IB,3,07543290,FVGAM,16Z
IB,3,07561020,LLUSU,22P
IB,3,07519172,QIGUR,32W
IB,3,07578160,EHTTG,15Z
IB,3,07524883,FDZMT,5V
IB,3,07585123,DSVTT,16F
IB,3,07552295,TGSXY,6V
IB,3,07556452,GBTJJ,25E
IB,3,07520443,XVMTK,16V
IB,3,07552069,YURDS,27E
IB,3,07516112,JMAMD,16B
IB,3,07585741,NQKZI,19A
IB,3,07592652,BVAUO,2J
IB,3,07567268,OSQBS,21C
IB,3,07584700,KDNFL,1Q
IB,3,07519215,JTBMY,4Z
IB,3,07528953,FNLRO,27T
IB,3,07561235,OJZKX,21J
IB,3,07575451,GHANU,1O
IB,3,07556945,THEMB,19G
IB,3,07539612,KKACA,21A
IB,3,07546707,PMNPL,27Q
IB,3,07596180,HDPDY,14P
IB,3,07561678,NACVB,10L
IB,3,07530357,ILIYW,19D
IB,3,07568801,MFHTZ,32N
IB,3,07588894,GQQHQ,7U
IB,3,07587390,MVAAN,41M
IB,3,07591629,OYLMY,3K
IB,3,07512538,ZEZES,3Q
IB,3,07549429,YVSDF,33R
IB,3,07570315,GYRLD,2G
IB,3,07567579,HKMIP,20T
IB,3,07590400,NBKBE,26T
IB,3,07516206,NLCCU,26W
IB,3,07514523,YNANK,7U
IB,3,07562464,SOEVN,40R
IB,3,07563486,CZRKA,14T
IB,3,07564721,ZXNCP,35E
IB,3,07598790,CNQXY,39J
IB,3,07552227,RDQNO,9V
IB,3,07541786,WTMZV,23P
IB,3,07590685,QFWHR,41H
IB,3,07593896,TNVWV,25A
IB,3,07533352,JYUGJ,19K
IB,3,07557733,NSBAJ,33Y
IB,3,07579281,DSKKA,34M
IB,3,07532988,CHNQL,15Y
IB,3,07591851,LXVFJ,13K
IB,3,07590991,KSCQK,41I
IB,3,07538257,HVLFR,3S
IB,3,07579918,UPMTT,32H
IB,3,07597169,OKHCL,1K
IB,3,07542396,PAPXG,2F
IB,3,07539342,TLGHQ,39K
IB,3,07598719,VWHKJ,41H
IB,3,07589318,ZYOQP,6K
IB,3,07518879,CATSD,20C
IB,3,07582909,OAIUP,2O
IB,3,07540655,KSCFH,10D
IB,3,07558156,UOPWL,7U
IB,3,07518110,CCAFR,36I
IB,3,07517719,GWOKL,42F
IB,3,07511253,QPYUH,21Z
IB,3,07589465,XKNDO,17P
IB,3,07582521,YPJVA,1H
IB,3,07569484,KTRCC,15P
IB,3,07510050,DHHFG,1T
IB,3,07596738,TECPM,23Z
IB,3,07563732,CNTPY,29G
IB,3,07572577,CHOXE,6K
IB,3,07536320,IULTM,4R
IB,3,07584781,XTKSP,28T
IB,3,07533966,QYFBV,9E
IB,3,07542058,CRAML,16J
IB,3,07576148,EHDGO,25P
IB,3,07546218,UTTXU,30B
IB,3,07575980,PUHPM,15A
IB,3,07557603,IECNE,4A
IB,3,07525155,HKIVW,38G
IB,3,07572897,HAFFH,21I
IB,3,07576842,DELMF,39G
IB,3,07564433,CPTSU,17G
IB,3,07550214,TYWBO,23A
IB,3,07557540,FDNVT,10Z
IB,3,07526369,JAZVV,15X
IB,3,07553800,FAZQB,24C
IB,3,07558278,PDLVT,42W
IB,3,07585869,ZDCRI,29B
IB,3,07570866,TGSKM,26K
IB,3,07569327,XTRPF,35W
IB,3,07593825,WSNMG,40O
IB,3,07571344,IVXAV,31G
IB,3,07550233,JUTKZ,42J
IB,3,07565709,JTRGC,31T
IB,3,07580139,JDUDN,8S
VY,4,03018610,HKTUJ,24X
VY,4,03074069,HIUGB,13S
VY,4,03089905,JBBPR,6X
VY,4,03066166,IWQRB,13Q
VY,4,03049905,EIIHV,38S
VY,4,03035772,SCCMB,9L
VY,4,03074116,MAQCZ,17X
VY,4,03061554,KUIAM,31N
VY,4,03053419,LXLTU,24K
VY,4,03081714,GOIYW,24O
VY,4,03056083,ABZVA,36B
VY,4,03080252,VDIGU,19P
VY,4,03056689,APCWL,34B
VY,4,03066750,CTXSD,38W
VY,4,03015880,UOKRU,18Y
VY,4,03089311,ZWAFX,24P
VY,4,03016851,RPUAS,24F
VY,4,03089719,LDIDF,38T
VY,4,03029707,OWEYV,29T
VY,4,03018089,UUJRC,33O
VY,4,03065115,LFRBO,17M
VY,4,03032005,IWHSY,29B
VY,4,03093607,OMNUN,11P
VY,4,03040366,QUTAG,34J
VY,4,03077781,VLJSZ,41C
VY,4,03082647,LLNOQ,1S
VY,4,03027652,RPKGW,3L
VY,4,03016326,NCOEK,22U
VY,4,03022646,LQBDA,12X
VY,4,03043380,LOCMR,18W
VY,4,03040617,TMSJE,31A
VY,4,03091906,PLWQW,15Q
VY,4,03027560,PJRPI,38P
VY,4,03080284,ZZWHU,16N
VY,4,03034194,RDNPO,38T
VY,4,03018637,JCJHQ,31D
VY,4,03091805,BBQIH,39E
VY,4,03063431,VXQYJ,35A
VY,4,03066659,BDISN,20L
VY,4,03062399,GKBVJ,32J
VY,4,03010191,MRKGO,20A
VY,4,03064556,TSWXE,1H
VY,4,03091373,TXAPK,9T
VY,4,03015311,SSRFZ,3S
VY,4,03093343,KZBGC,14Y
VY,4,03033496,QDFUG,22T
VY,4,03071019,FZAUN,12K
VY,4,03064836,JHEFR,39I
VY,4,03031895,FRMRS,21H
VY,4,03081196,RWENS,12M
VY,4,03056723,HPWXF,24D
VY,4,03024232,OMDFA,28M
VY,4,03094050,HCUWD,23Y
VY,4,03075096,NPMCB,14S
VY,4,03068610,TBDUJ,14L
VY,4,03017025,UNJZB,10S
VY,4,03064123,ZTMOZ,39C
VY,4,03085502,HEXMF,8C
VY,4,03036280,OJGRY,10J
VY,4,03045359,BHVAU,42D
VY,4,03015887,TPBVZ,11E
VY,4,03029797,LVPVQ,39A
VY,4,03035887,CEGTB,38Y
VY,4,03024357,CKFKA,24D
VY,4,03088589,UQQNR,14X
VY,4,03032123,AGFFI,22B
VY,4,03076704,SNXHC,19K
VY,4,03011717,UGEZN,34T
VY,4,03095735,JZRPS,24F
VY,4,03016085,RFTKP,39X
VY,4,03058283,ZBNGF,39E
VY,4,03071794,LBUNF,20U
VY,4,03027396,IOXVV,6O
VY,4,03010426,VVAOU,17Q
VY,4,03047684,YZNCH,42P
VY,4,03040928,EHZWV,4K
VY,4,03068216,DBZDU,42K
VY,4,03029254,AGIUH,35Y
VY,4,03078986,UPXZC,5B
VY,4,03036388,XBXFM,3Z
VY,4,03050649,SECBZ,32T
VY,4,03097070,MVCQV,33N
VY,4,03067255,LPTQV,20O
VY,4,03091323,DQYKQ,37Z
VY,4,03032338,PQGRM,22Y
VY,4,03061682,MUDNA,36A
VY,4,03083479,ZGVPY,42D
VY,4,03096040,SQCGB,26G
VY,4,03016744,NWCBK,28K
VY,4,03064079,JOAQH,28K
VY,4,03082783,PGMXI,4Z
VY,4,03097841,EFLLU,16H
VY,4,03047547,XYQKM,24Z
VY,4,03060316,PSKKN,7A
VY,4,03032394,PZYVT,13U
VY,4,03024941,KMHPU,36P
VY,4,03030286,WSHWN,35C
VY,4,03062020,MSJED,7Z
VY,4,03048137,NGOJZ,10K
VY,4,03021988,NNNVB,39R
VY,4,03081867,XMLMZ,26F
VY,4,03012040,PJIAQ,15Q
VY,4,03028607,PVAUM,4G
VY,4,03061548,FAGSH,13M
VY,4,03094570,OBJCO,19B
VY,4,03094479,ULSPD,9A
VY,4,03028107,NACZS,36O
VY,4,03018044,SKNRR,7F
VY,4,03015113,CKKYK,39G
VY,4,03095670,WDEXM,34Y
VY,4,03039594,BFFPY,1A
VY,4,03010906,RRDAG,12A
VY,4,03096164,JJHOW,30U
VY,5,03064222,VDWXT,25C
VY,5,03021332,KPZTZ,40Z
VY,5,03027736,CDNGO,25S
VY,5,03035348,NJCGI,10Y
VY,5,03097294,RAEIC,31M
VY,5,03032505,RXEDI,9J
VY,5,03012471,GWDSM,32Q
VY,5,03038014,TLXHO,23K
VY,5,03018396,MODBB,36R
VY,5,03044638,EKVJP,19W
VY,5,03072991,NKNEM,9W
VY,5,03081064,NWYBD,27U
VY,5,03066776,BNOCP,26E
VY,5,03064834,IHAOQ,32D
VY,5,03017112,PCMCU,16Z
VY,5,03055906,VDSZZ,30L
VY,5,03098816,LPTSQ,9B
VY,5,03092434,FWLYA,22V
VY,5,03075022,CFNMS,17S
VY,5,03072865,HTLZK,13T
VY,5,03063919,ISDOT,16E
VY,5,03017721,KMOVV,42Q
VY,5,03052809,XJCBX,8L
VY,5,03033415,NYWQT,20K
VY,5,03037348,GXMHM,29C
VY,5,03010870,HMCFG,9M
VY,5,03068286,DRTGS,40C
VY,5,03062421,JBMFR,41L
VY,5,03012540,ZTMWI,32S
VY,5,03074048,ZPQVM,4T
VY,5,03025483,CMFHW,28I
VY,5,03080456,FJKRK,35M
VY,5,03012441,CHOFD,40P
VY,5,03079347,ENSKW,15R
VY,5,03076974,YBWLS,39L
VY,5,03088440,FISMY,29O
VY,5,03054545,YTZVY,6Y
VY,5,03047405,BIRWU,1C
VY,5,03054997,DYAVS,11I
VY,5,03096921,LJZNP,27Z
VY,5,03083254,ZKNGI,6A
VY,5,03063168,OUJTD,4O
VY,5,03050045,UMLQQ,36I
VY,5,03021278,TKHFL,34I
VY,5,03031905,EKPJF,25L
VY,5,03085775,TAEPF,38C
VY,5,03067284,WIMGZ,16U
VY,5,03055248,ZDCNZ,12I
VY,5,03082375,XDJBP,40D
VY,5,03077663,IJNXT,29K
VY,5,03039742,ZUKAZ,39J
VY,5,03024818,TQTHX,15W
VY,5,03085634,OIDKX,38M
VY,5,03046984,LBZDQ,31Q
VY,5,03089216,GCTJN,31Q
VY,5,03032476,IVFYX,7K
VY,5,03029301,WAFPF,17D
VY,5,03034557,ZQWCI,3V
VY,5,03052903,DCTPT,24D
VY,5,03012364,OJPUR,14Z
VY,5,03086102,LZAVN,42X
VY,5,03013314,TMIRE,16O
VY,5,03039535,SOZBS,2R
VY,5,03018590,RJDUL,14B
VY,5,03018415,KTBYJ,8T
VY,5,03017045,NJEKP,17Z
VY,5,03012176,TEARR,26M
VY,5,03099525,FSOFJ,26L
VY,5,03047907,BYBYS,29Y
VY,5,03077183,KWJEN,14G
VY,5,03057655,SRDFO,17D
VY,5,03034472,IIWIH,1U
VY,5,03066828,HRIKG,40R
VY,5,03048517,YIZRM,42Q
VY,5,03036293,GJMFF,35B
VY,5,03013515,XGSMZ,6L
VY,5,03043822,OKJWL,28Y
VY,5,03079615,TYJYE,13Q
VY,5,03025009,GUANU,14W
VY,5,03049279,TOEKH,28G
VY,5,03067430,EZOWY,20R
VY,5,03015393,QWOQC,40D
VY,5,03096328,RTCNP,11S
VY,5,03022035,PNIGU,19N
VY,5,03028941,OZRER,18X
VY,5,03066666,MWGDB,19M
VY,5,03099426,QYCLV,35J
VY,5,03049533,GVIQX,7S
VY,5,03044400,FVIAQ,9V
VY,5,03013025,ZVZEK,10M
VY,5,03094069,ZHUHG,25Q
VY,5,03019695,NVKVB,20D
VY,5,03081050,BFDDE,23C
VY,5,03082981,PVNAT,8P
VY,5,03044241,GUYQV,29O
VY,5,03062938,KSVNG,18G
VY,5,03029028,EDZOZ,1N
VY,5,03077852,FAUDZ,20E
VY,5,03039502,KXJYN,7F
VY,5,03018477,UQSQN,23R
VY,5,03017618,AZEBS,32K
VY,5,03032791,HQUOI,13C
VY,5,03013653,TPTSG,12P
VY,5,03039557,ELQZB,11I
VY,5,03019280,BJBTM,18Q
VY,5,03027718,LZCEK,3N
VY,5,03044428,AJZQR,1Q
VY,5,03070595,ACQNQ,5W
VY,5,03068903,ZGDIU,27W
I2,6,06083452,WXEJQ,28U
I2,6,06022794,RUQQN,42L
I2,6,06074069,SGEAG,2E
I2,6,06076887,YOXPH,19E
I2,6,06082229,VYION,41S
I2,6,06085524,XCCNS,26L
I2,6,06092076,BJKGG,15Y
I2,6,06059758,MYIFW,25W
I2,6,06023889,HOHEU,9L
I2,6,06075313,OJAVP,9K
I2,6,06026041,DINXD,11B
I2,6,06055043,XAKIM,36H
I2,6,06075105,OTZQC,7N
I2,6,06049793,YKQXW,6F
I2,6,06047627,WYLUH,31P
I2,6,06067460,NQPKQ,29O
I2,6,06090373,YYLDO,16T
I2,6,06021344,RHWWJ,8I
I2,6,06064846,VTSRZ,33D
I2,6,06016915,URCQH,19E
I2,6,06050859,PGPRB,3B
I2,6,06021473,IFEJN,16B
I2,6,06012868,IMCXR,4S
I2,6,06022961,ZUXOM,14O
I2,6,06018083,ZUTKZ,15I
I2,6,06020453,IOYXE,29O
I2,6,06036846,KZJUK,29I
I2,6,06012705,SPTZJ,42U
I2,6,06028122,OSFKM,39B
I2,6,06076539,OINRW,37G
I2,6,06058680,UCWTX,23D
I2,6,06094159,EGCIC,1F
I2,6,06036666,OLPOJ,31I
I2,6,06017875,HESKR,24B
I2,6,06034094,ZQALM,35L
I2,6,06037865,JBNTP,39M
I2,6,06075990,HMOHS,37C
I2,6,06044341,CEIJX,1Z
I2,6,06083256,ALWTA,42C
I2,6,06094768,XTIIK,17W
I2,6,06087431,YETVI,31V
I2,6,06013046,QQLDO,29P
I2,6,06093974,ZQRGS,30F
